"Jobs","Code","Occupation_Type","Employment_2016","Employment_2026","Employment_Change_Number","Employment_Change_Percent","Percent_Self_Employed_2016","Occupational_Openings","Median_Annual_2017","Entry_Education","Work_Experience","layer1","layer2","layer3"
"Textile cutting machine setters, operators, and tenders","51-6062","Line item",15,12.6,-2.4,-15.8,NA,1.6,"26890","High school diploma or equivalent","None","51","6","062"
"Textile knitting and weaving machine setters, operators, and tenders","51-6063","Line item",22.2,17.9,-4.3,-19.3,3.5,2.1,"27960","High school diploma or equivalent","None","51","6","063"
"Textile winding, twisting, and drawing out machine setters, operators, and tenders","51-6064","Line item",30.8,25.6,-5.2,-16.8,2.2,2.6,"28270","High school diploma or equivalent","None","51","6","064"
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers","51-6091","Line item",20.2,18.3,-1.9,-9.5,4.4,2.1,"33470","High school diploma or equivalent","None","51","6","091"
"Fabric and apparel patternmakers","51-6092","Line item",5.5,4.6,-0.9,-16.1,4.4,0.5,"40460","High school diploma or equivalent","None","51","6","092"
"Upholsterers","51-6093","Line item",41.6,41.8,0.1,0.3,21.6,4.2,"33660","High school diploma or equivalent","None","51","6","093"
"Textile, apparel, and furnishings workers, all other","51-6099","Line item",16.3,15.7,-0.7,-4.1,4.2,1.8,"26670","High school diploma or equivalent","None","51","6","099"
"Woodworkers","51-7000","Summary",279.3,282.6,3.3,1.2,9.7,30,"30900","—","—","51","7","000"
"Cabinetmakers and bench carpenters","51-7011","Line item",109.3,111.8,2.5,2.3,10.3,11.5,"33920","High school diploma or equivalent","None","51","7","011"
"Furniture finishers","51-7021","Line item",22.4,22.3,-0.1,-0.4,22.2,2,"31300","High school diploma or equivalent","None","51","7","021"
"Model makers, wood","51-7031","Line item",1.9,1.9,0.1,3,44.8,0.2,"50150","High school diploma or equivalent","None","51","7","031"
"Patternmakers, wood","51-7032","Line item",1.8,1.8,0.1,3.3,45.2,0.2,"52380","High school diploma or equivalent","None","51","7","032"
"Sawing machine setters, operators, and tenders, wood","51-7041","Line item",54.8,54.6,-0.2,-0.3,6.2,6.2,"29080","High school diploma or equivalent","None","51","7","041"
"Woodworking machine setters, operators, and tenders, except sawing","51-7042","Line item",77.1,77.5,0.5,0.6,0.7,8.4,"29110","High school diploma or equivalent","None","51","7","042"
"Woodworkers, all other","51-7099","Line item",12.1,12.5,0.4,3.6,43.5,1.4,"30680","High school diploma or equivalent","None","51","7","099"
"Plant and system operators","51-8000","Summary",314,309.7,-4.3,-1.4,0.1,27.8,"58350","—","—","51","8","000"
"Nuclear power reactor operators","51-8011","Line item",7,6.3,-0.7,-10.2,NA,0.5,"93370","High school diploma or equivalent","None","51","8","011"
"Power distributors and dispatchers","51-8012","Line item",11.6,11.3,-0.3,-2.5,NA,1,"82510","High school diploma or equivalent","None","51","8","012"
"Power plant operators","51-8013","Line item",36.1,36.5,0.5,1.3,NA,3.2,"77180","High school diploma or equivalent","None","51","8","013"
"Stationary engineers and boiler operators","51-8021","Line item",35.7,37.5,1.7,4.8,0.7,3.9,"59890","High school diploma or equivalent","None","51","8","021"
"Water and wastewater treatment plant and system operators","51-8031","Line item",119.2,115.4,-3.8,-3.2,NA,9.2,"46150","High school diploma or equivalent","None","51","8","031"
"Chemical plant and system operators","51-8091","Line item",33.2,30.1,-3.1,-9.2,NA,2.8,"62170","High school diploma or equivalent","None","51","8","091"
"Gas plant operators","51-8092","Line item",17.3,17.3,0,0,NA,1.7,"69030","High school diploma or equivalent","None","51","8","092"
"Petroleum pump system operators, refinery operators, and gaugers","51-8093","Line item",41.8,43,1.2,2.8,NA,4.3,"67770","High school diploma or equivalent","None","51","8","093"
"Plant and system operators, all other","51-8099","Line item",12.1,12.4,0.2,1.9,NA,1.2,"56330","High school diploma or equivalent","None","51","8","099"
"Other production occupations","51-9000","Summary",2623.7,2605.7,-18.1,-0.7,1.7,308.6,"32510","—","—","51","9","000"
"Chemical equipment operators and tenders","51-9011","Line item",74.1,70.4,-3.7,-5,0.6,7.3,"47800","High school diploma or equivalent","None","51","9","011"
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders","51-9012","Line item",47.2,47.3,0.1,0.1,0.6,5,"39040","High school diploma or equivalent","None","51","9","012"
"Crushing, grinding, and polishing machine setters, operators, and tenders","51-9021","Line item",30.2,28.2,-2,-6.7,0.3,3,"35380","High school diploma or equivalent","None","51","9","021"
"Grinding and polishing workers, hand","51-9022","Line item",26.6,21.1,-5.4,-20.5,0.3,2.1,"28830","No formal educational credential","None","51","9","022"
"Mixing and blending machine setters, operators, and tenders","51-9023","Line item",131,126.9,-4.1,-3.1,0.3,13.9,"36600","High school diploma or equivalent","None","51","9","023"
"Cutters and trimmers, hand","51-9031","Line item",14.7,13.2,-1.5,-10.1,2.2,1.4,"28210","No formal educational credential","None","51","9","031"
"Cutting and slicing machine setters, operators, and tenders","51-9032","Line item",63.6,61.1,-2.5,-4,2.2,6.8,"33610","High school diploma or equivalent","None","51","9","032"
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders","51-9041","Line item",71.4,67.5,-3.8,-5.4,NA,7.9,"33680","High school diploma or equivalent","None","51","9","041"
"Furnace, kiln, oven, drier, and kettle operators and tenders","51-9051","Line item",21.9,20.8,-1.1,-5.2,10.7,2,"37580","High school diploma or equivalent","None","51","9","051"
"Inspectors, testers, sorters, samplers, and weighers","51-9061","Line item",520.7,465.2,-55.5,-10.7,0.5,52.7,"37340","High school diploma or equivalent","None","51","9","061"
"Jewelers and precious stone and metal workers","51-9071","Line item",37.7,35.2,-2.5,-6.7,30.2,3.5,"37960","High school diploma or equivalent","None","51","9","071"
"Dental laboratory technicians","51-9081","Line item",38.1,43.6,5.5,14.4,1.9,5,"38670","High school diploma or equivalent","None","51","9","081"
"Medical appliance technicians","51-9082","Line item",15,17,2,13.6,2,2,"37190","High school diploma or equivalent","None","51","9","082"
"Ophthalmic laboratory technicians","51-9083","Line item",29.1,32.5,3.4,11.8,2,3.7,"30960","High school diploma or equivalent","None","51","9","083"
"Packaging and filling machine operators and tenders","51-9111","Line item",383,389.7,6.7,1.7,0.3,44.6,"29350","High school diploma or equivalent","None","51","9","111"
"Coating, painting, and spraying machine setters, operators, and tenders","51-9121","Line item",89.9,89.9,0,0,5,9.3,"33820","High school diploma or equivalent","None","51","9","121"
"Painters, transportation equipment","51-9122","Line item",58.1,61.9,3.9,6.6,5,6.6,"41850","High school diploma or equivalent","None","51","9","122"
"Painting, coating, and decorating workers","51-9123","Line item",16.3,16.4,0.1,0.9,4.9,1.7,"30820","No formal educational credential","None","51","9","123"
"Semiconductor processors","51-9141","Line item",25.5,24.1,-1.4,-5.6,3.1,2.6,"36580","High school diploma or equivalent","None","51","9","141"
"Photographic process workers and processing machine operators","51-9151","Line item",26.9,22,-4.9,-18.1,3.3,3.3,"27480","High school diploma or equivalent","None","51","9","151"
"Adhesive bonding machine operators and tenders","51-9191","Line item",17,16.6,-0.5,-2.7,NA,1.8,"32710","High school diploma or equivalent","None","51","9","191"
"Cleaning, washing, and metal pickling equipment operators and tenders","51-9192","Line item",17.2,17.3,0.1,0.4,NA,2.2,"29950","High school diploma or equivalent","None","51","9","192"
"Cooling and freezing equipment operators and tenders","51-9193","Line item",8.7,8.8,0.1,1.4,3,1,"30860","High school diploma or equivalent","None","51","9","193"
"Etchers and engravers","51-9194","Line item",10.6,10.6,0.1,0.6,10.1,1.3,"30890","High school diploma or equivalent","None","51","9","194"
"Molders, shapers, and casters, except metal and plastic","51-9195","Line item",43,41.9,-1,-2.3,8.3,4.2,"31950","High school diploma or equivalent","None","51","9","195"
"Paper goods machine setters, operators, and tenders","51-9196","Line item",94.6,86.1,-8.5,-9,NA,8.3,"37890","High school diploma or equivalent","None","51","9","196"
"Tire builders","51-9197","Line item",22.3,19.6,-2.7,-12.1,NA,2.1,"40230","High school diploma or equivalent","None","51","9","197"
"Helpers--production workers","51-9198","Line item",426,475.5,49.5,11.6,0.1,72,"26070","High school diploma or equivalent","None","51","9","198"
"Production workers, all other","51-9199","Line item",263.5,275.1,11.6,4.4,3,31.4,"28890","High school diploma or equivalent","None","51","9","199"
"Transportation and material moving occupations","53-0000","Summary",10274.2,10908.4,634.3,6.2,4.4,1333.4,"31600","—","—","53","0","000"
"Supervisors of transportation and material moving workers","53-1000","Summary",396.2,425.8,29.7,7.5,0.2,44.4,"53700","—","—","53","1","000"
"Aircraft cargo handling supervisors","53-1011","Line item",7.6,8.1,0.5,5.9,NA,0.8,"48150","High school diploma or equivalent","Less than 5 years","53","1","011"
"First-line supervisors of helpers, laborers, and material movers, hand","53-1021","Line item",184.4,200.1,15.7,8.5,0.2,21,"—","High school diploma or equivalent","Less than 5 years","53","1","021"
"First-line supervisors of transportation and material-moving machine and vehicle operators","53-1031","Line item",204.2,217.7,13.5,6.6,0.2,22.6,"—","High school diploma or equivalent","Less than 5 years","53","1","031"
"Air transportation workers","53-2000","Summary",275.3,293.2,18,6.5,0.5,29.6,"72310","—","—","53","2","000"
"Airline pilots, copilots, and flight engineers","53-2011","Line item",84,86.9,2.9,3.4,NA,8.1,"137330","Bachelor's degree","Less than 5 years","53","2","011"
"Commercial pilots","53-2012","Line item",40.8,42.3,1.6,3.8,3.3,4,"78740","High school diploma or equivalent","None","53","2","012"
"Air traffic controllers","53-2021","Line item",24.9,25.8,0.9,3.5,NA,2.4,"124540","Associate's degree","None","53","2","021"
"Airfield operations specialists","53-2022","Line item",8.9,9.7,0.8,8.8,NA,0.9,"52360","High school diploma or equivalent","None","53","2","022"
"Flight attendants","53-2031","Line item",116.6,128.5,11.9,10.2,NA,14.2,"50500","High school diploma or equivalent","Less than 5 years","53","2","031"
"Motor vehicle operators","53-3000","Summary",4358.9,4590.6,231.7,5.3,8.7,506.9,"35910","—","—","53","3","000"
"Ambulance drivers and attendants, except emergency medical technicians","53-3011","Line item",17.3,21.1,3.8,21.9,NA,3.1,"24260","High school diploma or equivalent","None","53","3","011"
"Bus drivers, transit and intercity","53-3021","Line item",179.3,195.4,16.1,9,0.9,24,"40780","High school diploma or equivalent","None","53","3","021"
"Bus drivers, school or special client","53-3022","Line item",507.9,535.2,27.3,5.4,0.9,64.9,"31060","High school diploma or equivalent","None","53","3","022"
"Driver/sales workers","53-3031","Line item",467.9,461,-6.9,-1.5,8.1,48.2,"24040","High school diploma or equivalent","None","53","3","031"
"Heavy and tractor-trailer truck drivers","53-3032","Line item",1871.7,1980.1,108.4,5.8,7.9,213.5,"42480","Postsecondary nondegree award","None","53","3","032"
"Light truck or delivery services drivers","53-3033","Line item",953.5,1015.6,62.1,6.5,7.9,109.8,"31450","High school diploma or equivalent","None","53","3","033"
"Taxi drivers and chauffeurs","53-3041","Line item",305.1,320.3,15.1,5,36.3,32.7,"24880","No formal educational credential","None","53","3","041"
"Motor vehicle operators, all other","53-3099","Line item",56.2,62,5.8,10.3,2.8,10.7,"26640","No formal educational credential","None","53","3","099"
"Rail transportation workers","53-4000","Summary",122.9,120.6,-2.3,-1.9,0.1,10.4,"60390","—","—","53","4","000"
"Locomotive engineers","53-4011","Line item",38.8,37.7,-1.1,-2.8,NA,3,"60990","High school diploma or equivalent","Less than 5 years","53","4","011"
"Locomotive firers","53-4012","Line item",1.2,0.3,-0.9,-78.6,NA,0,"60360","High school diploma or equivalent","None","53","4","012"
"Rail yard engineers, dinkey operators, and hostlers","53-4013","Line item",4.4,4.6,0.2,3.7,NA,0.4,"50150","High school diploma or equivalent","None","53","4","013"
"Railroad brake, signal, and switch operators","53-4021","Line item",19.3,19,-0.3,-1.6,NA,1.7,"57260","High school diploma or equivalent","None","53","4","021"
"Railroad conductors and yardmasters","53-4031","Line item",41.8,41,-0.9,-2.1,NA,3.7,"60300","High school diploma or equivalent","None","53","4","031"
"Subway and streetcar operators","53-4041","Line item",12.8,13.4,0.5,4.1,NA,1.3,"66420","High school diploma or equivalent","None","53","4","041"
"Rail transportation workers, all other","53-4099","Line item",4.6,4.8,0.1,3.1,3.2,0.4,"58690","High school diploma or equivalent","None","53","4","099"
"Water transportation workers","53-5000","Summary",86.3,93.2,6.9,8,1.6,10.5,"55590","—","—","53","5","000"
"Sailors and marine oilers","53-5011","Line item",33.8,36.4,2.6,7.6,NA,4.4,"40730","No formal educational credential","None","53","5","011"
"Captains, mates, and pilots of water vessels","53-5021","Line item",38.8,42.2,3.4,8.8,3.3,4.4,"70920","Postsecondary nondegree award","Less than 5 years","53","5","021"
"Motorboat operators","53-5022","Line item",3.6,3.9,0.3,7.6,3.2,0.4,"44600","Postsecondary nondegree award","Less than 5 years","53","5","022"
"Ship engineers","53-5031","Line item",10.1,10.8,0.7,6.5,NA,1.3,"73110","Postsecondary nondegree award","Less than 5 years","53","5","031"
"Other transportation workers","53-6000","Summary",356.5,384.8,28.2,7.9,0.6,55.5,"24480","—","—","53","6","000"
"Bridge and lock tenders","53-6011","Line item",3.7,3.8,0.2,4.9,NA,0.4,"50240","High school diploma or equivalent","None","53","6","011"
"Parking lot attendants","53-6021","Line item",151.6,161,9.4,6.2,1.3,23.9,"22810","No formal educational credential","None","53","6","021"
"Automotive and watercraft service attendants","53-6031","Line item",110,121.7,11.7,10.6,0.2,20,"23390","No formal educational credential","None","53","6","031"
"Traffic technicians","53-6041","Line item",6.6,7.2,0.6,9.1,NA,0.8,"45670","High school diploma or equivalent","None","53","6","041"
"Transportation inspectors","53-6051","Line item",28.2,29.8,1.7,5.9,NA,2.9,"72140","High school diploma or equivalent","None","53","6","051"
"Transportation attendants, except flight attendants","53-6061","Line item",18.5,20,1.6,8.4,NA,2.7,"27830","High school diploma or equivalent","None","53","6","061"
"Transportation workers, all other","53-6099","Line item",38,41.2,3.1,8.3,NA,4.8,"36760","High school diploma or equivalent","None","53","6","099"
"Material moving workers","53-7000","Summary",4678,5000.2,322.1,6.9,1.5,676,"27320","—","—","53","7","000"
"Conveyor operators and tenders","53-7011","Line item",28.1,27.7,-0.3,-1.2,NA,3.7,"32300","No formal educational credential","None","53","7","011"
"Crane and tower operators","53-7021","Line item",46,49.9,3.9,8.6,2.9,5.3,"52200","High school diploma or equivalent","Less than 5 years","53","7","021"
"Dredge operators","53-7031","Line item",1.8,1.9,0.1,5,5.7,0.2,"43230","High school diploma or equivalent","None","53","7","031"
"Excavating and loading machine and dragline operators","53-7032","Line item",50.6,54.7,4.1,8.1,5.9,6.1,"42500","High school diploma or equivalent","Less than 5 years","53","7","032"
"Loading machine operators, underground mining","53-7033","Line item",2.6,2.5,-0.1,-3.5,6.2,0.3,"52420","No formal educational credential","None","53","7","033"
"Hoist and winch operators","53-7041","Line item",2.9,2.9,0,-0.7,NA,0.4,"43210","No formal educational credential","None","53","7","041"
"Industrial truck and tractor operators","53-7051","Line item",549.9,585.9,36.1,6.6,0.2,65.9,"33630","No formal educational credential","None","53","7","051"
"Cleaners of vehicles and equipment","53-7061","Line item",369.2,408.7,39.5,10.7,4.2,57.8,"23360","No formal educational credential","None","53","7","061"
"Laborers and freight, stock, and material movers, hand","53-7062","Line item",2628.4,2828.1,199.7,7.6,1,388.4,"27040","No formal educational credential","None","53","7","062"
"Machine feeders and offbearers","53-7063","Line item",87.7,89.2,1.6,1.8,NA,12,"28510","No formal educational credential","None","53","7","063"
"Packers and packagers, hand","53-7064","Line item",710.8,723.8,13,1.8,0.4,108.4,"23430","No formal educational credential","None","53","7","064"
"Gas compressor and gas pumping station operators","53-7071","Line item",3.9,4,0.1,3.4,NA,0.5,"62810","High school diploma or equivalent","None","53","7","071"
"Pump operators, except wellhead pumpers","53-7072","Line item",11.9,13.5,1.6,13.8,0.5,1.7,"43500","High school diploma or equivalent","None","53","7","072"
"Wellhead pumpers","53-7073","Line item",11.5,14,2.5,21.7,0.5,1.8,"52260","High school diploma or equivalent","Less than 5 years","53","7","073"
"Refuse and recyclable material collectors","53-7081","Line item",136,153.9,17.9,13.2,14.1,18.9,"36160","No formal educational credential","None","53","7","081"
"Mine shuttle car operators","53-7111","Line item",1.5,1.2,-0.3,-21.9,NA,0.1,"56890","No formal educational credential","None","53","7","111"
"Tank car, truck, and ship loaders","53-7121","Line item",10.8,11.4,0.6,5.2,NA,1.4,"36860","No formal educational credential","None","53","7","121"
"Material moving workers, all other","53-7199","Line item",24.4,26.7,2.3,9.3,NA,3.2,"29610","No formal educational credential","None","53","7","199"
